#    lambda_um    Flux_Jy   Sigma_Jy    AOT ident.
      2.36152      1837.69      26.2660      1.00000
      2.36196      1868.90      29.1314      1.00000
      2.36274      1912.84      30.8869      1.00000
      2.36386      1967.92      27.8624      1.00000
      2.36521      2034.49      22.2833      1.00000
      2.36614      2062.13      24.8632      1.00000
      2.36750      2113.02      23.2378      1.00000
      2.36894      2119.25      20.2021      1.00000
      2.36998      2081.53      24.5750      1.00000
      2.37089      2030.79      27.4792      1.00000
      2.37193      1989.46      22.0896      1.00000
      2.37337      1936.47      17.3920      1.00000
      2.37473      1909.90      19.7843      1.00000
      2.37566      1885.85      20.3266      1.00000
      2.37687      1871.70      16.8228      1.00000
      2.37814      1866.51      18.9059      1.00000
      2.37949      1839.49      21.3197      1.00000
      2.38040      1805.03      24.4428      1.00000
      2.38144      1753.63      29.2955      1.00000
      2.38288      1669.60      24.2998      1.00000
      2.38424      1608.99      18.0412      1.00000
      2.38516      1611.93      27.6963      1.00000
      2.38637      1670.50      31.7471      1.00000
      2.38764      1721.75      24.9640      1.00000
      2.38899      1773.63      14.1197      1.00000
      2.38990      1777.90      14.7393      1.00000
      2.39094      1772.39      17.3305      1.00000
      2.39253      1801.22      24.2146      1.00000
      2.39373      1825.86      20.0762      1.00000
      2.39509      1893.85      34.5956      1.00000
      2.39615      1927.92      25.3381      1.00000
      2.39758      1973.67      28.1828      1.00000
      2.39848      1985.45      23.1394      1.00000
      2.39938      1969.29      26.6427      1.00000
      2.40083      1919.45      31.1358      1.00000
      2.40202      1873.59      23.9827      1.00000
      2.40322      1825.16      11.1871      1.00000
      2.40445      1790.23      15.3495      1.00000
      2.40571      1768.44      15.6957      1.00000
      2.40706      1758.10      15.4850      1.00000
      2.40796      1769.29      15.9240      1.00000
      2.40933      1795.80      17.6334      1.00000
      2.41060      1796.80      16.8269      1.00000
      2.41180      1774.02      24.4018      1.00000
      2.41269      1737.67      26.4392      1.00000
      2.41419      1676.93      19.1344      1.00000
      2.41549      1643.05      11.1985      1.00000
      2.41653      1637.60      12.7871      1.00000
      2.41758      1645.02      13.6941      1.00000
      2.41889      1694.48      23.7430      1.00000
      2.42007      1754.03      31.6777      1.00000
      2.42127      1813.03      27.0559      1.00000
      2.42247      1853.21      18.7343      1.00000
      2.42374      1886.19      16.7622      1.00000
      2.42510      1902.12      10.9247      1.00000
      2.42613      1907.70      11.2581      1.00000
      2.42765      1891.38      9.31238      1.00000
      2.42869      1889.98      8.45735      1.00000
      2.42974      1894.40      10.5644      1.00000
      2.43117      1889.13      16.7679      1.00000
      2.43221      1874.58      19.3737      1.00000
      2.43352      1823.76      26.1649      1.00000
      2.43455      1778.23      21.4718      1.00000
      2.43589      1739.37      16.7030      1.00000
      2.43724      1717.29      8.23067      1.00000
      2.43814      1723.09      8.92739      1.00000
      2.43949      1746.95      12.4243      1.00000
      2.44075      1770.57      10.0883      1.00000
      2.44198      1779.83      7.85363      1.00000
      2.44318      1748.23      17.4504      1.00000
      2.44444      1702.82      20.6575      1.00000
      2.44578      1645.65      15.9095      1.00000
      2.44668      1618.78      9.90622      1.00000
      2.44804      1630.24      12.9415      1.00000
      2.44930      1649.44      16.0182      1.00000
      2.45049      1677.88      10.4857      1.00000
      2.45185      1681.95      8.90796      1.00000
      2.45297      1679.69      8.20280      1.00000
      2.45431      1680.04      8.34446      1.00000
      2.45521      1697.62      12.1621      1.00000
      2.45678      1735.17      14.0964      1.00000
      2.45783      1757.52      16.6985      1.00000
      2.45933      1778.75      8.45730      1.00000
      2.46037      1769.79      7.54307      1.00000
      2.46181      1763.12      8.82806      1.00000
      2.46284      1754.78      7.73475      1.00000
      2.46417      1732.77      8.24618      1.00000
      2.46552      1716.58      8.20754      1.00000
      2.46641      1709.85      4.50151      1.00000
      2.46776      1714.03      6.68554      1.00000
      2.46933      1730.92      10.0890      1.00000
      2.47010      1740.30      9.93912      1.00000
      2.47158      1729.07      9.81725      1.00000
      2.47270      1717.88      9.63400      1.00000
      2.47403      1696.35      4.93114      1.00000
      2.47493      1689.43      4.61035      1.00000
      2.47650      1679.23      5.85650      1.00000
      2.47754      1667.61      10.3312      1.00000
      2.47903      1634.21      14.2109      1.00000
      2.48018      1622.01      12.8013      1.00000
      2.48165      1613.29      10.2137      1.00000
      2.48240      1614.78      9.33982      1.00000
      2.48418      1633.97      6.06494      1.00000
      2.48521      1642.68      6.34074      1.00000
      2.48626      1643.52      7.81804      1.00000
      2.48767      1638.90      7.63521      1.00000
      2.48871      1636.61      9.04491      1.00000
      2.49022      1647.81      13.5318      1.00000
      2.49133      1670.53      14.1747      1.00000
      2.49281      1711.70      11.5724      1.00000
      2.49371      1730.65      6.92038      1.00000
      2.49506      1712.82      13.0480      1.00000
      2.49631      1684.93      18.8971      1.00000
      2.49780      1655.43      13.3589      1.00000
      2.49885      1644.58      3.96339      1.00000
      2.50041      1662.44      8.27761      1.00000
      2.50130      1669.69      8.32442      1.00000
      2.50263      1669.40      9.23871      1.00000
      2.50375      1666.90      9.45890      1.00000
      2.50501      1654.36      8.38736      1.00000
      2.50642      1677.28      12.6427      1.00000
      2.50745      1696.91      13.6545      1.00000
      2.50896      1709.93      12.6380      1.00000
      2.51007      1685.47      19.0005      1.00000
      2.51155      1632.56      21.7524      1.00000
      2.51200      1606.76      18.9684      1.00000
      2.51400      1589.23      11.3070      1.00000
      2.51503      1593.32      11.0165      1.00000
      2.51698      1618.93      5.38780      1.00000
      2.51766      1630.90      6.65407      1.00000
      2.51912      1646.17      8.90184      1.00000
      2.52001      1650.26      10.1086      1.00000
      2.52104      1644.87      10.9250      1.00000
      2.52267      1599.60      21.6907      1.00000
      2.52401      1558.62      24.0333      1.00000
      2.52512      1541.12      15.9979      1.00000
      2.52678      1525.96      9.99086      1.00000
      2.52780      1532.52      9.67083      1.00000
      2.52905      1546.52      8.78409      1.00000
      2.53024      1553.02      8.96033      1.00000
      2.53158      1559.95      10.8048      1.00000
      2.53269      1574.88      11.5310      1.00000
      2.53432      1589.54      12.1869      1.00000
      2.53534      1604.32      10.4955      1.00000
      2.53646      1613.47      6.45415      1.00000
      2.53801      1621.66      5.61454      1.00000
      2.53912      1627.23      3.64444      1.00000
      2.54045      1627.54      8.08584      1.00000
      2.54165      1621.34      9.63584      1.00000
      2.54275      1620.32      12.2213      1.00000
      2.54422      1611.73      11.6002      1.00000
      2.54556      1621.09      8.69039      1.00000
      2.54682      1617.42      5.25696      1.00000
      2.54799      1615.80      6.82802      1.00000
      2.54932      1612.02      6.89812      1.00000
      2.55043      1607.40      6.11238      1.00000
      2.55198      1606.33      7.01251      1.00000
      2.55308      1617.08      7.32358      1.00000
      2.55442      1630.75      8.47398      1.00000
      2.55576      1649.08      10.3294      1.00000
      2.55696      1697.63      21.4968      2.00000
      2.55696      1697.63      21.4968      2.00000
      2.55696      1697.63      21.4968      2.00000
      2.55700      1659.33      8.93695      1.00000
      2.55824      1696.64      26.1926      2.00000
      2.55832      1655.18      10.4364      1.00000
      2.55951      1665.37      35.8133      2.00000
      2.55964      1624.36      13.8615      1.00000
      2.56048      1601.83      13.4574      1.00000
      2.56140      1631.98      27.6059      2.00000
      2.56203      1611.61      25.2505      2.00000
      2.56225      1577.37      11.0578      1.00000
      2.56327      1585.11      9.37493      1.00000
      2.56398      1625.68      18.7906      2.00000
      2.56491      1616.50      13.5215      1.00000
      2.56571      1650.12      10.3170      2.00000
      2.56601      1645.58      13.6061      1.00000
      2.56635      1655.30      10.4933      2.00000
      2.56717      1670.49      10.6780      1.00000
      2.56760      1674.33      14.4155      2.00000
      2.56836      1690.56      7.24413      1.00000
      2.56887      1687.97      15.7822      2.00000
      2.56983      1694.82      5.95232      1.00000
      2.57014      1702.77      11.7372      2.00000
      2.57093      1688.88      6.03479      1.00000
      2.57141      1697.01      10.8670      2.00000
      2.57255      1668.53      9.06048      1.00000
      2.57268      1672.48      17.1515      2.00000
      2.57354      1643.75      15.1592      1.00000
      2.57395      1647.74      17.8728      2.00000
      2.57499      1618.83      13.4811      1.00000
      2.57524      1638.34      13.4922      2.00000
      2.57617      1619.26      12.9081      1.00000
      2.57651      1636.42      12.6417      2.00000
      2.57763      1627.36      13.7296      1.00000
      2.57777      1649.55      11.0887      2.00000
      2.57883      1635.64      11.7625      1.00000
      2.57903      1666.42      9.68418      2.00000
      2.57999      1645.15      9.13521      1.00000
      2.58029      1677.76      10.1011      2.00000
      2.58136      1676.60      10.4309      2.00000
      2.58139      1646.59      10.9479      1.00000
      2.58261      1675.60      8.93829      2.00000
      2.58281      1664.15      10.2886      1.00000
      2.58387      1670.42      7.78538      2.00000
      2.58397      1673.38      8.31452      1.00000
      2.58514      1684.75      6.34863      1.00000
      2.58531      1671.59      4.61581      2.00000
      2.58658      1672.12      3.83538      2.00000
      2.58690      1666.40      5.56652      1.00000
      2.58778      1662.28      4.84026      1.00000
      2.58786      1669.16      4.83097      2.00000
      2.58915      1656.16      10.4633      2.00000
      2.58925      1664.21      5.93126      1.00000
      2.59020      1663.72      6.14629      1.00000
      2.59086      1647.68      10.2921      2.00000
      2.59198      1653.43      8.52569      1.00000
      2.59212      1645.57      10.2246      2.00000
      2.59294      1640.91      9.89348      1.00000
      2.59298      1649.31      10.8537      2.00000
      2.59380      1658.48      10.4950      2.00000
      2.59440      1627.43      8.08262      1.00000
      2.59557      1637.18      9.61787      1.00000
      2.59570      1660.45      6.37217      2.00000
      2.59682      1661.41      13.8956      1.00000
      2.59695      1659.79      6.64510      2.00000
      2.59814      1686.62      11.8532      1.00000
      2.59885      1669.37      5.46781      2.00000
      2.59945      1705.18      6.93177      1.00000
      2.59947      1670.37      4.62270      2.00000
      2.60077      1673.55      4.42819      2.00000
      2.60078      1717.43      4.31356      1.00000
      2.60218      1711.23      6.55466      1.00000
      2.60266      1672.96      6.66593      2.00000
      2.60334      1701.16      9.02776      1.00000
      2.60391      1674.69      7.65863      2.00000
      2.60476      1673.48      9.45096      2.00000
      2.60496      1679.04      8.57363      1.00000
      2.60597      1668.61      7.72132      1.00000
      2.60602      1672.10      10.2581      2.00000
      2.60733      1686.62      14.1372      2.00000
      2.60738      1676.25      12.3274      1.00000
      2.60860      1709.12      18.4717      2.00000
      2.60869      1701.97      17.9209      1.00000
      2.61001      1746.55      20.9501      1.00000
      2.61004      1745.60      17.3630      2.00000
      2.61130      1775.36      12.9130      2.00000
      2.61142      1792.55      15.4399      1.00000
      2.61256      1783.83      10.2910      2.00000
      2.61257      1807.64      11.0338      1.00000
      2.61385      1778.22      12.4861      2.00000
      2.61404      1785.48      15.6799      1.00000
      2.61510      1750.09      17.1698      2.00000
      2.61520      1745.57      18.4101      1.00000
      2.61632      1701.64      18.7440      1.00000
      2.61654      1718.48      14.6078      2.00000
      2.61784      1690.38      14.3588      2.00000
      2.61791      1648.47      12.3419      1.00000
      2.61893      1629.15      10.0932      1.00000
      2.61909      1662.88      13.2506      2.00000
      2.62038      1661.35      11.3545      2.00000
      2.62056      1621.41      5.63971      1.00000
      2.62165      1631.68      6.61368      1.00000
      2.62168      1668.69      13.1867      2.00000
      2.62297      1654.18      7.09803      1.00000
      2.62311      1689.52      14.0452      2.00000
      2.62428      1684.52      10.5551      1.00000
      2.62438      1712.43      10.1039      2.00000
      2.62563      1727.37      10.9259      2.00000
      2.62563      1721.01      13.4076      1.00000
      2.62692      1740.54      9.85266      2.00000
      2.62713      1752.74      11.1322      1.00000
      2.62826      1752.91      13.1713      1.00000
      2.62836      1753.10      10.4225      2.00000
      2.62965      1762.41      9.59662      2.00000
      2.62973      1755.31      17.1888      1.00000
      2.63089      1748.42      17.4453      1.00000
      2.63091      1766.61      8.75459      2.00000
      2.63217      1766.50      9.77826      2.00000
      2.63217      1731.81      24.5070      1.00000
      2.63349      1771.76      10.6258      2.00000
      2.63353      1735.45      30.5537      1.00000
      2.63437      1726.33      41.0128      1.00000
      2.63454      1726.21      48.8873      1.00000
      2.63493      1771.20      13.9167      2.00000
      2.63619      1764.99      17.2836      2.00000
      2.63745      1750.51      16.2528      2.00000
      2.63889      1736.11      14.0281      2.00000
      2.64022      1737.39      13.8729      2.00000
      2.64147      1742.68      10.7521      2.00000
      2.64272      1754.19      10.9878      2.00000
      2.64442      1773.13      11.9474      2.00000
      2.64524      1777.01      14.5089      2.00000
      2.64675      1788.57      15.8435      2.00000
      2.64754      1804.15      20.6689      2.00000
      2.64945      1792.66      34.5838      2.00000
      2.65069      1772.39      31.2539      2.00000
      2.65176      1736.39      36.4312      2.00000
      2.65372      1653.04      15.4217      2.00000
      2.65497      1632.22      17.0078      2.00000
      2.65623      1618.16      9.21859      2.00000
      2.65768      1634.24      15.1890      2.00000
      2.65892      1653.14      20.7893      2.00000
      2.65998      1666.16      20.7975      2.00000
      2.66125      1677.57      24.5624      2.00000
      2.66294      1685.14      23.5369      2.00000
      2.66421      1693.69      25.0418      2.00000
      2.66547      1694.01      23.7912      2.00000
      2.66677      1692.92      21.9043      2.00000
      2.66823      1686.97      19.4304      2.00000
      2.66947      1684.13      18.1888      2.00000
      2.67073      1693.29      17.9396      2.00000
      2.67198      1692.16      18.0950      2.00000
      2.67342      1682.08      22.1120      2.00000
      2.67474      1665.08      20.9395      2.00000
      2.67600      1650.57      15.3535      2.00000
      2.67726      1638.87      11.9968      2.00000
      2.67852      1640.16      12.7918      2.00000
      2.68020      1652.61      13.5744      2.00000
      2.68128      1661.24      16.2709      2.00000
      2.68251      1661.86      14.9529      2.00000
      2.68378      1666.21      13.4579      2.00000
      2.68522      1667.22      15.7698      2.00000
      2.68647      1675.95      15.1832      2.00000
      2.68822      1682.49      17.0009      2.00000
      2.68948      1674.23      16.9007      2.00000
      2.69092      1661.29      16.4472      2.00000
      2.69201      1645.82      14.7986      2.00000
      2.69364      1622.87      11.2953      2.00000
      2.69493      1614.40      10.1759      2.00000
      2.69575      1610.57      10.7967      2.00000
      2.69701      1606.64      11.0445      2.00000
      2.69876      1631.29      14.0763      2.00000
      2.70039      1645.98      14.9538      2.00000
      2.70165      1656.25      12.9829      2.00000
      2.70289      1652.49      9.37525      2.00000
      2.70461      1638.23      6.59301      2.00000
      2.70591      1646.94      11.1401      2.00000
      2.70736      1666.96      12.8849      2.00000
      2.70859      1671.14      12.6877      2.00000
      2.70986      1679.22      11.0014      2.00000
      2.71110      1671.02      11.7943      2.00000
      2.71254      1657.04      10.2778      2.00000
      2.71387      1646.48      9.69434      2.00000
      2.71512      1642.07      7.57704      2.00000
      2.71637      1653.23      8.40194      2.00000
      2.71764      1654.48      6.03256      2.00000
      2.71931      1667.02      12.0136      2.00000
      2.72039      1674.40      12.5278      2.00000
      2.72182      1676.80      11.1192      2.00000
      2.72289      1674.53      11.3452      2.00000
      2.72478      1672.55      12.0928      2.00000
      2.72602      1676.83      11.3145      2.00000
      2.72732      1678.71      11.1862      2.00000
      2.72814      1683.36      9.62574      2.00000
      2.73020      1672.60      5.03014      2.00000
      2.73154      1667.69      4.82233      2.00000
      2.73278      1663.30      5.79620      2.00000
      2.73402      1656.45      6.75680      2.00000
      2.73591      1625.80      8.20968      2.00000
      2.73715      1603.69      10.1240      2.00000
      2.73805      1595.36      9.56679      2.00000
      2.73948      1599.15      10.4887      2.00000
      2.74116      1625.99      20.5759      2.00000
      2.74242      1655.94      10.4730      2.00000
      2.74387      1683.97      10.8717      2.00000
      2.74535      1697.36      6.29880      2.00000
      2.74643      1701.90      6.71578      2.00000
      2.74766      1701.00      7.35179      2.00000
      2.74893      1690.85      7.86016      2.00000
      2.75081      1665.74      11.9755      2.00000
      2.75205      1651.60      9.34917      2.00000
      2.75335      1641.11      9.16224      2.00000
      2.75479      1640.48      10.1883      2.00000
      2.75623      1645.04      9.60019      2.00000
      2.75757      1657.08      14.8952      2.00000
      2.75881      1676.91      17.9905      2.00000
      2.76067      1701.30      13.6189      2.00000
      2.76193      1697.04      13.9632      2.00000
      2.76317      1677.10      17.7565      2.00000
      2.76424      1648.41      13.9282      2.00000
      2.76593      1609.05      10.2430      2.00000
      2.76718      1598.69      11.4333      2.00000
      2.76844      1597.81      11.7644      2.00000
      2.77013      1608.39      13.1319      2.00000
      2.77100      1610.90      11.9746      2.00000
      2.77280      1632.25      13.5935      2.00000
      2.77411      1646.10      13.6819      2.00000
      2.77554      1654.44      13.2822      2.00000
      2.77682      1657.01      10.9396      2.00000
      2.77813      1653.71      9.62127      2.00000
      2.77975      1636.86      11.0557      2.00000
      2.78098      1631.10      10.3507      2.00000
      2.78204      1616.11      12.1799      2.00000
      2.78400      1589.97      13.5971      2.00000
      2.78544      1574.15      11.7441      2.00000
      2.78667      1568.36      6.41692      2.00000
      2.78793      1568.21      6.69678      2.00000
      2.78916      1570.68      6.81473      2.00000
      2.79059      1576.66      8.80865      2.00000
      2.79234      1591.40      10.2043      2.00000
      2.79360      1599.39      10.5929      2.00000
      2.79505      1610.33      9.18146      2.00000
      2.79637      1616.37      9.59199      2.00000
      2.79779      1598.64      15.2967      2.00000
      2.79922      1571.77      16.1147      2.00000
      2.80091      1516.37      17.7486      2.00000
      2.80214      1486.64      17.4818      2.00000
      2.80322      1474.62      18.4562      2.00000
      2.80491      1473.22      19.6753      2.00000
      2.80615      1498.58      18.3720      2.00000
      2.80784      1535.20      10.9795      2.00000
      2.80909      1557.03      8.33906      2.00000
      2.81051      1561.42      6.04926      2.00000
      2.81183      1565.83      5.53956      2.00000
      2.81326      1571.23      5.74223      2.00000
      2.81468      1570.54      6.26622      2.00000
      2.81600      1564.29      8.31945      2.00000
      2.81745      1546.37      12.0421      2.00000
      2.81870      1534.13      11.9137      2.00000
      2.82037      1526.65      10.4803      2.00000
      2.82162      1529.41      11.2700      2.00000
      2.82328      1542.50      11.3025      2.00000
      2.82438      1554.38      9.04155      2.00000
      2.82560      1568.41      10.4797      2.00000
      2.82728      1589.57      10.3931      2.00000
      2.82873      1604.31      7.22689      2.00000
      2.83016      1603.59      6.16790      2.00000
      2.83147      1599.95      7.98050      2.00000
      2.83289      1580.64      8.62375      2.00000
      2.83459      1567.23      8.13769      2.00000
      2.83590      1560.39      6.68633      2.00000
      2.83734      1568.56      8.52876      2.00000
      2.83856      1581.03      9.67508      2.00000
