 # ID PAH8eqw PAH8eqw_unc NeII NeII_unc NeIII NeIII_unc SIII SIII_unc SIV SIV_unc
IZw18 0.7110 0.3070 0.0010 0.0003 0.0077 0.0009 0.0053 0.0009 0.0043 0.0004
POX4 0.8310 0.0759 0.0095 0.0007 0.1620 0.0082 0.0518 0.0028 0.1930 0.0097
IIZw40 1.1100 0.0949 0.0655 0.0039 1.4800 0.0741 0.6130 0.0308 1.5900 0.0796
Mrk162 1.2200 0.1020 0.0366 0.0020 0.1800 0.0093 0.0682 0.0042 0.0767 0.0040
Mrk1450 1.3100 0.2060 0.0134 0.0010 0.1050 0.0056 0.0565 0.0034 0.0687 0.0041
Haro11 1.3400 0.1160 0.3290 0.0166 1.2700 0.0635 0.5940 0.0303 0.5820 0.0292
UM462 1.5900 0.3330 0.0112 0.0010 0.1110 0.0057 0.0511 0.0029 0.0638 0.0034
NGC1569 1.8700 0.1930 0.3210 0.0180 3.0700 0.1540 1.3700 0.0698 1.6000 0.0805
UM420 2.0200 0.1710 0.0251 0.0023 0.0638 0.0041 0.0522 0.0048 0.0491 0.0043
NGC3125 2.5800 0.2100 0.1520 0.0078 0.8110 0.0407 0.5450 0.0276 0.5530 0.0278
NGC4449 2.7100 0.2240 0.1630 0.0083 0.2790 0.0140 0.2380 0.0120 0.0719 0.0040
Mrk930 3.4800 0.3820 0.0505 0.0029 0.2020 0.0102 0.0883 0.0049 0.1130 0.0059
NGC1140 3.4900 0.2750 0.1530 0.0078 0.4860 0.0244 0.2750 0.0140 0.1680 0.0085
Mrk206  3.6000 0.3240 0.1430 0.0078 0.1590 0.0085 0.1510 0.0079 0.0631 0.0053
Tol2  3.6200 0.9890 0.0191 0.0016 0.1020 0.0052 0.0729 0.0039 0.0382 0.0027
NGC7714 3.9300 0.3270 0.9720 0.0487 0.6130 0.0310 1.0100 0.0506 0.1920 0.0097
He2_10 4.2700 0.3460 3.8400 0.1920 1.2100 0.0610 3.6300 0.1820 0.3660 0.0184
UM448 5.5800 0.4480 0.3330 0.0168 0.5880 0.0295 0.3480 0.0178 0.1840 0.0095
Mrk25 6.4100 0.5310 0.1440 0.0073 0.0571 0.0031 0.1520 0.0078 0.0184 0.0014
NGC3310 6.8000 0.5490 0.5460 0.0274 0.6410 0.0322 0.6000 0.0303 0.1600 0.0082
NGC5953 7.0100 0.5440 1.0600 0.0530 0.2450 0.0124 0.4100 0.0207 0.0996 0.0055
NGC1614 7.3700 0.5810 2.8100 0.1410 0.4710 0.0264 0.8580 0.0445 0.1480 0.0088
UGC4393 7.6100 0.6820 0.0478 0.0028 0.0438 0.0030 0.0305 0.0031 0.0164 0.0015
NGC3077 7.8500 0.6620 0.3900 0.0197 0.2230 0.0113 0.6340 0.0318 0.0275 0.0029
NGC2782 8.4700 0.6680 0.9180 0.0461 0.4840 0.0246 0.6500 0.0328 0.0962 0.0056
NGC4214 9.1300 0.9410 0.0809 0.0045 0.0768 0.0047 0.0531 0.0039 0.1200 0.0067
NGC4194 9.4900 0.7690 2.1500 0.1080 0.7150 0.0361 1.1700 0.0586 0.1840 0.0094
NGC3256 10.2000 0.8160 6.4400 0.3220 0.8930 0.0461 3.0400 0.1520 0.2200 0.0126
Mrk331 10.7000 0.8340 1.4400 0.0721 0.1600 0.0088 0.5340 0.0268 0.0772 0.0045
NGC2903 11.4000 0.9320 2.0500 0.1030 0.1390 0.0074 0.6650 0.0335 0.0890 0.0050
NGC3079 11.98 1.46 2.44 0.122 0.430 0.00222 0.469 0.0241 0.173 0.0106
NGC3367 0.275 0.00233 0.423 0.00213 0.0424 0.000246 0.650 0.0328 0.0962 0.00557
NGC2146 27.4 2.16 13.7 0.685 2.01 0.101 5.23 0.262 0.631 0.0328
