# ID PAH8eqw PAH8eqw_unc NeII NeII_unc NeIII NeIII_unc SIII SIII_unc SIV SIV_unc RHI RHI_unc 12plogOH 12plogOH_unc
# last 3 lines added from dh_codes/Dimuthu_M31_Atomic_lines/englbrt copy 2
Haro11 1.34 0.116 0.329 0.0166 1.27 0.0635 0.594 0.0303 0.582 0.0292 0.6413017778412602 0.043756676863685964 7.92 0.06
He2_10 4.27 0.346 3.84 0.192 1.21 0.061 3.63 0.182 0.366 0.0184 -0.6829491033424848 0.043579053189605914 8.55 0.1
IIZw40 1.11 0.0949 0.0655 0.0039 1.48 0.0741 0.613 0.0308 1.59 0.0796 1.359020161045196 0.04568936361372383 8.11 0.05
IZw18 0.711 0.307 0.001 0.0003 0.0077 0.0009 0.0053 0.0009 0.0043 0.0004 0.726507505509491 0.163054021673119 7.19 0.06
Mrk1450 1.31 0.206 0.0134 0.001 0.105 0.0056 0.0565 0.0034 0.0687 0.0041 0.8691197988522537 0.05420060287559732 7.99 0.05
Mrk162 1.22 0.102 0.0366 0.002 0.18 0.0093 0.0682 0.0042 0.0767 0.004 0.7411943913955243 0.047873541049087004 8.19 0.06
Mrk206 3.6 0.324 0.143 0.0078 0.159 0.0085 0.151 0.0079 0.0631 0.0053 0.07866194886895715 0.05425031210370003 8.04 0.19
Mrk25 6.41 0.531 0.144 0.0073 0.0571 0.0031 0.152 0.0078 0.0184 0.0014 -0.5703135462235374 0.05124131229211935 8.68 0.1
Mrk331 10.7 0.834 1.44 0.0721 0.16 0.0088 0.534 0.0268 0.0772 0.0045 -0.7856611805069904 0.046436890951526755 8.76 0.1
Mrk930 3.48 0.382 0.0505 0.0029 0.202 0.0102 0.0883 0.0049 0.113 0.0059 0.7406530101896036 0.04684995825226205 8.11 0.05
NGC1140 3.49 0.275 0.153 0.0078 0.486 0.0244 0.275 0.014 0.168 0.0085 0.43689392365987134 0.04398463675490678 8.32 0.06
NGC1569 1.87 0.193 0.321 0.018 3.07 0.154 1.37 0.0698 1.6 0.0805 0.8985622097807764 0.04507718635629895 8.13 0.12
NGC1614 7.37 0.581 2.81 0.141 0.471 0.0264 0.858 0.0445 0.148 0.0088 -0.635790908626553 0.04731380309454708 8.69 0.1
