#detections
#ID dRA ddec spect_file
 05 -33  -8 m31-1a5.dat
 15  -9 -32 m31-1a15.dat
 17  -9  -8 m31-1a17.dat
 18  -9   4 m31-1a18.dat
 19   3 -56 m31-1a19.dat
 21   3 -32 m31-1a21.dat
 22   3 -20 m31-1a22.dat
 23   3  -8 m31-1a23.dat
 24   3   4 m31-1a24.dat
 26  15 -44 m31-1a26.dat
 28  15 -20 m31-1a28.dat
 35  27  -8 m31-1a35.dat
 36  27   4 m31-1a36.dat

#non-detections
 01 -33 -56 m31-1a1.dat
 02 -33 -44 m31-1a2.dat
 03 -33 -32 m31-1a3.dat
 04 -33 -20 m31-1a4.dat
 06 -33   4 m31-1a6.dat
 07 -21 -56 m31-1a7.dat
 08 -21 -44 m31-1a8.dat
 09 -21 -32 m31-1a9.dat
 10 -21 -20 m31-1a10.dat
 11 -21  -8 m31-1a11.dat
 12 -21   4 m31-1a12.dat
 13  -9 -56 m31-1a13.dat
 14  -9 -44 m31-1a14.dat
 16  -9 -20 m31-1a16.dat
 20   3 -44 m31-1a20.dat
 25  15 -56 m31-1a25.dat
 27  15 -32 m31-1a27.dat
 29  15  -8 m31-1a29.dat
 30  15   4 m31-1a30.dat
 31  27 -56 m31-1a31.dat
 32  27 -44 m31-1a32.dat
 33  27 -32 m31-1a33.dat
 34  27 -20 m31-1a34.dat
